,index,날짜,시가,고가,저가,종가,거래량,거래대금,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch
4217,4217,2018-01-18,892.5,899.85,887.67,898.19,1260160680,9608884684721,1.2925995613400296,890.132,822.6965,772.1178333333334,100.9052589952951,109.17634875072399,116.32809931644717,50.50121231217461,923.6989246243493,721.6940753756508,892.7866666666667,1125054652961,0,2.369694946457449,70.32372318891069,0
4218,4218,2018-01-19,902.85,902.97,875.43,879.99,1164749855,9321761083520,-2.0682053205150113,891.5200000000001,828.387,775.3308333333334,98.70670315865038,106.22933483987558,113.4986462768044,50.20896911906611,928.8049382381322,727.9690617618677,886.09,0,1032073199016,1.7267105073861992,63.32577304076951,0
4219,4219,2018-01-22,875.95,880.85,864.38,873.09,1126585230,7311262224149,-0.7902965330034678,887.816,834.2779999999999,778.3966666666666,98.34132297683304,104.6521663042775,112.1651771376205,48.043870259097744,930.3657405181954,738.1902594818044,871.14,0,981413457262,1.3183297453607405,56.8654975850126,0
4220,4220,2018-01-23,881.68,894.43,877.68,894.43,1047348260,8334657953016,2.3858770390080744,886.4559999999999,841.9834999999999,781.9603333333333,100.89953703285894,106.22892253826828,114.3830398899177,44.40170614016115,930.7869122803222,753.1800877196777,884.5966666666667,926480779635,0,1.3090883348562061,56.69286510590453,0
4221,4221,2018-01-24,901.62,903.17,891.03,894.77,1011725491,8582346650848,0.03799859181689505,888.094,848.662,785.3736666666667,100.75172222760203,105.43302280530999,113.92920821978156,41.56612494757267,931.7942498951454,765.5297501048547,895.8066666666667,906310439674,0,1.775892250189531,63.97554696398167,0
4222,4222,2018-01-25,894.21,898.6,887.97,898.6,1025037663,7557703074180,0.42621856220788346,888.176,855.4815000000001,788.8556666666667,101.17364126029076,105.04026095245776,113.91183938591216,37.63876504978625,930.7590300995726,780.2039699004276,893.5933333333334,0,915966822072,1.3316715029895199,57.112311973712245,0
4223,4223,2018-01-26,898.53,913.12,895.32,913.12,1080156709,7200553607086,1.5901524443665653,894.802,861.54,792.5043333333332,102.04715680116942,105.98695359472572,115.21955926213654,36.612259091577506,934.764518183155,788.3154818168449,902.3233333333333,974650602187,0,1.3229782519835527,56.95181394203254,0
4224,4224,2018-01-29,914.26,929.35,914.22,927.05,1279562137,8811855165879,1.5026158243891863,905.594,867.9715,796.359,102.36927364801444,106.80650228722948,116.41106586351128,36.23667425121678,940.4448485024336,795.4981514975664,918.5099999999999,1175290618455,0,1.8289467468766063,64.65115502424769,0
4225,4225,2018-01-30,928.72,932.01,918.79,920.96,1243821243,8657840266689,-0.6612665045170169,910.9,873.3970000000002,800.1256666666667,101.1044022395433,105.44574803897882,115.1019194068265,35.60400466830067,944.6050093366015,802.1889906633988,922.8233333333334,1147827265536,0,2.5338040594183804,71.70188320615073,0
4226,4226,2018-01-31,910.89,917.78,903.52,913.57,1195259322,7543173670207,-0.8089144783650937,914.6600000000001,877.96,803.6663333333332,99.88083003520434,104.05599343933665,113.6752856388576,34.54427121366916,947.0485424273384,808.8714575726617,909.3266666666667,0,1086881175076,1.7811947896204843,64.04423006500534,0
4227,4227,2018-02-01,916.78,919.9,901.35,908.2,1407688515,8348927925044,-0.591279453864788,916.5799999999999,882.9694999999999,807.0731666666668,99.08573174191015,102.85745996888909,112.53007007419194,30.943394920561744,944.8562898411234,821.0827101588765,908.7766666666666,0,1279274476366,1.2637149194130086,55.824826199435726,0
